"row_number","athlete_name","session_type","session_name","session_num","time","C_res_acc","C_peak_mag","C_f_time","C_Jump","C_jh","C_PL","C_acc_zone","C_acc_zone_time","C_ma_Peak","C_raw_peak_mag","C_active_time","L_res_acc","L_peak_mag","L_f_time","L_Jump","L_jh","L_PL","L_acc_zone","L_acc_zone_time","L_ma_Peak","L_raw_peak_mag","L_active_time","R_res_acc","R_peak_mag","R_f_time","R_Jump","R_jh","R_PL","R_acc_zone","R_acc_zone_time","R_ma_Peak","R_raw_peak_mag","R_active_time"
0.98,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00410651241466,0,NA,0,NA,0.000369809952936612,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.99,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00718026178665,0,NA,0,NA,0.00034468774010114,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00995418703719,0,NA,0,NA,0.000277775214233247,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.01,"Athlete 1","Training","",1,2021-10-25 00:02:29,1.0114743628023,0,NA,0,NA,0.000233226957724326,1.5,1.5,1,1.0114743628023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.02,"Athlete 1","Training","",1,2021-10-25 00:02:29,1.01127903965303,0,NA,0,NA,0.000251270556591268,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.03,"Athlete 1","Training","",1,2021-10-25 00:02:29,1.00951466873843,0,NA,0,NA,0.000293781658623045,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.04,"Athlete 1","Training","",1,2021-10-25 00:02:29,1.00681324155128,0,NA,0,NA,0.000306173109119729,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.05,"Athlete 1","Training","",1,2021-10-25 00:02:29,1.0040038101772,0,NA,0,NA,0.000260204446381155,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.06,"Athlete 1","Training","",1,2021-10-25 00:02:29,1.00179066281132,0,NA,0,NA,0.000169283885121089,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.07,"Athlete 1","Training","",1,2021-10-25 00:02:29,1.00054390501123,0,NA,0,NA,0.000137299692688775,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.08,"Athlete 1","Training","",1,2021-10-25 00:02:29,1.000281377008,0,NA,0,NA,0.000218776800585197,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
